"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","BeforeSuite of suite Create New User @api: failed.","","Thu Dec 04 22:08:03 UTC 2025","failed","Thu Dec 04 22:08:03 UTC 2025","","Create New User @api:","Create New User @api:","BeforeSuite of suite Create New User @api: failed."
"","0","BeforeSuite of suite Update User @api: failed.","","Thu Dec 04 22:08:03 UTC 2025","failed","Thu Dec 04 22:08:03 UTC 2025","","Update User @api:","Update User @api:","BeforeSuite of suite Update User @api: failed."
"","0","BeforeSuite of suite Login Validation @api: failed.","","Thu Dec 04 22:08:03 UTC 2025","failed","Thu Dec 04 22:08:03 UTC 2025","","Login Validation @api:","Login Validation @api:","BeforeSuite of suite Login Validation @api: failed."
"","0","BeforeSuite of suite Parametrized Delay Validation @api: failed.","","Thu Dec 04 22:08:03 UTC 2025","failed","Thu Dec 04 22:08:03 UTC 2025","","Parametrized Delay Validation @api:","Parametrized Delay Validation @api:","BeforeSuite of suite Parametrized Delay Validation @api: failed."
"","0","BeforeSuite of suite Get List of Users @api: failed.","","Thu Dec 04 22:08:03 UTC 2025","failed","Thu Dec 04 22:08:03 UTC 2025","","Get List of Users @api:","Get List of Users @api:","BeforeSuite of suite Get List of Users @api: failed."
